Site.Code,Spp1,Spp2,Mean.SIF,sd.SIF,lci.SIF,hci.SIF,RHat
CAX,Dasypus kappleri,Myrmecophaga tridactyla,1.681278715,0.566863535,0.714734366,2.901695218,1.001708464
CAX,Dasypus kappleri,Nasua nasua,1.21381011,0.300790663,0.685040844,1.877559834,1.001247337
CAX,Dasypus kappleri,Panthera onca,1.119274163,0.321341006,0.551084374,1.839619462,1.001169606
CAX,Dasypus kappleri,Pecari tajacu,1.267516667,0.228274127,0.862570688,1.758959207,1.000996265
CAX,Dasypus kappleri,Puma concolor,1.229719102,0.381643554,0.556070794,2.051824852,1.001187458
CAX,Dasypus kappleri,Tapirus terrestris,1.445055591,0.339207035,0.85198485,2.181280537,1.001052002
CAX,Dasypus kappleri,Tayassu pecari,1.084793861,0.416577216,0.35714654,2.005540858,1.001037468
CAX,Dasypus novemcinctus,Didelphis marsupialis,1.090513109,0.383020876,0.410061723,1.907386829,1.001240124
CAX,Dasypus novemcinctus,Eira barbara,1.641158364,0.706157023,0.529814985,3.259603845,1.001285153
CAX,Dasypus novemcinctus,Leopardus pardalis,1.025241177,0.502016888,0.211140934,2.19349923,1.00104088
CAX,Dasypus novemcinctus,Leopardus wiedii,1.22789756,0.63766339,0.23594378,2.711778748,1.001521169
CAX,Dasypus novemcinctus,Mazama americana,1.149853346,0.154034628,0.858890922,1.472593079,1.000995035
CAX,Dasypus novemcinctus,Mazama nemorivaga,1.032674532,0.263633349,0.529039445,1.569082558,1.001052244
CAX,Dasypus novemcinctus,Myrmecophaga tridactyla,1.23248663,0.622296345,0.267290474,2.715851836,1.001047185
CAX,Dasypus novemcinctus,Nasua nasua,0.899435138,0.333250579,0.282371622,1.604285422,1.001638022
CAX,Dasypus novemcinctus,Panthera onca,0.779207385,0.360483606,0.150090926,1.521045561,1.001123241
CAX,Dasypus novemcinctus,Pecari tajacu,1.234429082,0.269939999,0.746922107,1.814383642,1.00184585
CAX,Dasypus novemcinctus,Puma concolor,0.828629289,0.42598788,0.144287084,1.768554367,1.001024835
CAX,Dasypus novemcinctus,Tapirus terrestris,1.282805479,0.399953617,0.600927753,2.175667253,1.001292008
CAX,Dasypus novemcinctus,Tayassu pecari,1.031183019,0.497976152,0.215701357,2.182141357,1.001142859
CAX,Didelphis marsupialis,Eira barbara,1.341533778,0.534032053,0.436219435,2.529340048,1.001958134
CAX,Didelphis marsupialis,Leopardus pardalis,1.580959143,0.556261546,0.698711348,2.845571147,1.000997725
CAX,Didelphis marsupialis,Leopardus wiedii,1.039982555,0.513972461,0.19744175,2.182622664,1.001128034
CAX,Didelphis marsupialis,Mazama americana,1.153375258,0.140767735,0.894500698,1.453423295,1.001275655
CAX,Didelphis marsupialis,Mazama nemorivaga,1.472803332,0.242476623,1.028234679,1.99251557,1.001084899
CAX,Didelphis marsupialis,Myrmecophaga tridactyla,1.470558007,0.580706772,0.513065395,2.776780146,1.001041893
CAX,Didelphis marsupialis,Nasua nasua,1.281933785,0.336820549,0.702779286,2.031840424,1.001293909
CAX,Didelphis marsupialis,Panthera onca,1.300564818,0.385072221,0.664798308,2.174554197,1.001266436
CAX,Didelphis marsupialis,Pecari tajacu,0.799887044,0.230996786,0.353538379,1.250804741,1.001120133
CAX,Didelphis marsupialis,Puma concolor,1.220102282,0.411170178,0.497017561,2.11620542,1.001267982
CAX,Didelphis marsupialis,Tapirus terrestris,0.700741966,0.2959249,0.192619651,1.316924638,1.001753988
CAX,Didelphis marsupialis,Tayassu pecari,1.225448422,0.472089659,0.433657038,2.302536228,1.001006275
CAX,Eira barbara,Leopardus pardalis,0.858718213,0.580391008,0.042343217,2.252684118,1.001517347
CAX,Eira barbara,Leopardus wiedii,0.95689967,0.740244537,0.041563407,2.858683372,1.001149066
CAX,Eira barbara,Mazama americana,1.038338744,0.179682172,0.637718414,1.386176142,1.001104993
CAX,Eira barbara,Mazama nemorivaga,1.444540473,0.351861007,0.79454511,2.171459235,1.001019762
CAX,Eira barbara,Myrmecophaga tridactyla,0.930539726,0.668603659,0.047265115,2.609557578,1.001354004
CAX,Eira barbara,Nasua nasua,1.197045111,0.441616379,0.452711185,2.246331274,1.001824449
CAX,Eira barbara,Panthera onca,1.034659159,0.458921195,0.236876413,2.110288725,1.001108148
CAX,Eira barbara,Pecari tajacu,0.984065711,0.314065924,0.350824815,1.627052871,1.001134129
CAX,Eira barbara,Puma concolor,0.721203125,0.518679908,0.028432928,1.929148238,1.001078646
CAX,Eira barbara,Tapirus terrestris,0.948962671,0.44463098,0.188393467,1.933523502,1.001244206
CAX,Eira barbara,Tayassu pecari,0.831838244,0.556818783,0.039544235,2.161306332,1.001338427
CAX,Leopardus pardalis,Leopardus wiedii,1.401767265,0.85029782,0.327437068,3.64319624,1.001605973
CAX,Leopardus pardalis,Mazama americana,0.855169235,0.227714219,0.321746389,1.194209624,1.001308397
CAX,Leopardus pardalis,Mazama nemorivaga,1.15716165,0.304759916,0.592457501,1.829353989,1.001015561
CAX,Leopardus pardalis,Myrmecophaga tridactyla,0.892410283,0.538151695,0.05582153,2.15519877,1.001315806
CAX,Leopardus pardalis,Nasua nasua,0.957117467,0.347644525,0.248777633,1.697713429,1.001154485
CAX,Leopardus pardalis,Panthera onca,1.034649692,0.369560815,0.311793335,1.892803843,1.001141914
CAX,Leopardus pardalis,Pecari tajacu,1.004701492,0.265239361,0.419857211,1.553244255,1.001044107
CAX,Leopardus pardalis,Puma concolor,1.937225324,0.882867832,0.787827813,4.073662851,1.001200814
CAX,Leopardus pardalis,Tapirus terrestris,1.450670326,0.526902959,0.686388503,2.715508833,1.001215183
CAX,Leopardus pardalis,Tayassu pecari,1.193267346,0.580487748,0.327096768,2.706816506,1.001599399
CAX,Leopardus wiedii,Mazama americana,0.978512711,0.207752166,0.498979105,1.350939369,1.001066731
CAX,Leopardus wiedii,Mazama nemorivaga,1.088958137,0.364290554,0.38352913,1.820670105,1.001045847
CAX,Leopardus wiedii,Myrmecophaga tridactyla,0.976825265,0.750767807,0.045861349,2.869731306,1.001145982
CAX,Leopardus wiedii,Nasua nasua,1.595032322,0.616282442,0.698126151,3.060134296,1.001313465
CAX,Leopardus wiedii,Panthera onca,1.419648547,0.644922903,0.505689617,3.035987125,1.001019157
CAX,Leopardus wiedii,Pecari tajacu,1.440094631,0.375947726,0.807429918,2.269073756,1.001046662
CAX,Leopardus wiedii,Puma concolor,0.751499113,0.537831002,0.029750783,2.016353822,1.00116577
